,name,review_count,rating,price,cat1,zip_code,nyc,borough,cluster,is_affluent
0,Com Tam Ninh Kieu,379,4.0,2,vietnamese,10468,True,Bronx,12,0
1,Antonio's Trattoria,773,4.5,2,italian,10458,True,Bronx,12,0
2,Bronx Alehouse,749,4.0,2,tradamerican,10463,True,Bronx,62,0
4,The Bronx Public,443,4.0,2,sportsbars,10463,True,Bronx,62,0
5,Trattoria Zero Otto Nove,749,4.0,2,italian,10458,True,Bronx,12,0
6,CHOCnyc,146,4.5,2,desserts,10034,True,Manhattan,42,0
7,Guadalupe Restaurant,658,4.0,2,mexican,10034,True,Manhattan,42,0
8,Indian Road Cafe,597,4.0,2,coffee,10034,True,Manhattan,42,0
9,Beans and Vines,415,4.5,2,bars,10034,True,Manhattan,42,0
10,Bocaditos Bistro,395,4.5,2,breakfast_brunch,10034,True,Manhattan,42,0
11,Leche Y Miel Restaurant,298,4.0,2,comfortfood,10463,True,Bronx,62,0
12,Casa Della Mozzarella Italian Deli,161,4.5,2,delis,10458,True,Bronx,12,0
13,Kingsbridge Social Club,185,4.5,2,pizza,10463,True,Bronx,62,0
14,Mon Amour Coffee & Wine,218,4.5,1,coffee,10463,True,Bronx,62,0
15,S&S Cheesecake,176,4.5,2,desserts,10463,True,Bronx,62,0
16,Sam's Pizza,127,4.5,1,pizza,10463,True,Bronx,62,0
17,Madonia Brothers Bakery,242,4.5,1,bakeries,10458,True,Bronx,12,0
18,Aoyu Sushi,233,4.5,2,japanese,10463,True,Bronx,62,0
19,Bella Pizza,75,4.5,1,pizza,10468,True,Bronx,12,0
20,Cachapas y mas,344,4.0,1,venezuelan,10040,True,Manhattan,42,0
21,The Hill Bistro,181,4.5,2,tradamerican,10463,True,Bronx,62,0
22,Joe's Italian Deli,121,5.0,2,delis,10458,True,Bronx,12,0
23,Picante Picante,156,4.0,2,mexican,10463,True,Bronx,62,0
25,Mike's Deli Arthur Avenue,220,4.0,2,catering,10458,True,Bronx,12,0
26,Salsa Con Fuego,675,3.0,2,bars,10468,True,Bronx,12,0
27,Greek Express,220,4.0,2,greek,10463,True,Bronx,62,0
28,Liebman's Kosher Delicatessen,270,4.0,2,delis,10463,True,Bronx,62,0
29,MangiPasta,98,4.5,2,italian,10458,True,Bronx,12,0
30,Dominick's Restaurant,341,4.0,2,italian,10458,True,Bronx,12,0
31,Pugsley's Pizza,142,4.5,1,pizza,10458,True,Bronx,12,0
32,Tino's Delicatessen,189,4.0,2,delis,10458,True,Bronx,12,0
33,Yo-Burger,236,4.0,2,burgers,10463,True,Bronx,62,0
34,Full Moon Pizzeria,273,4.0,1,pizza,10458,True,Bronx,12,0
35,Gino's Pastry Shop,82,4.5,2,bakeries,10458,True,Bronx,12,0
36,G's Coffee Shop,62,4.5,1,mexican,10034,True,Manhattan,42,0
38,Loeser's Kosher Delicatessen and Caterers,101,4.0,2,delis,10463,True,Bronx,62,0
39,Broadyke Meat Market,77,4.5,2,meats,10034,True,Manhattan,42,0
40,Roberto's,253,4.0,3,italian,10458,True,Bronx,12,0
41,Pizza Palace,120,4.5,1,pizza,10034,True,Manhattan,42,0
42,Inwood Bar and Grill,396,3.5,2,sportsbars,10034,True,Manhattan,42,0
43,Pizza Studio,86,4.5,1,pizza,10458,True,Bronx,12,0
44,Inwood Local,209,4.0,2,bars,10034,True,Manhattan,42,0
45,Salvatores of Soho,281,4.0,2,pizza,10463,True,Bronx,62,0
46,Clinton Hall,165,4.0,2,beergardens,10458,True,Bronx,12,0
47,Garden Cafe,232,3.5,2,newamerican,10034,True,Manhattan,42,0
48,Tin Marin,275,3.5,2,tapasmallplates,10463,True,Bronx,62,0
49,Patacon Pisao Truck,81,4.5,1,foodtrucks,10034,True,Manhattan,42,0
50,Brown Sugar Restaurant,218,3.5,2,cuban,10034,True,Manhattan,42,0
52,809 Sangria Bar & Grill,224,4.0,2,spanish,10040,True,Manhattan,42,0
53,Tibbett Diner,105,4.0,1,diners,10463,True,Bronx,62,0
54,San Gennaro Trattoria Restaurant Bar,154,4.0,2,italian,10458,True,Bronx,12,0
55,Cerini Coffee & Gifts,64,5.0,2,coffeeroasteries,10458,True,Bronx,12,0
56,An Beal Bocht Cafe,127,4.0,2,irish,10463,True,Bronx,62,0
57,Michaelangelo's Little Italy,222,3.5,2,lounges,10458,True,Bronx,12,0
58,Artuso Pastry Shop,146,4.0,2,bakeries,10458,True,Bronx,12,0
59,Pop and Pour Cafe,112,4.5,2,wine_bars,10040,True,Manhattan,42,0
60,Caridad Restaurant,93,3.5,2,latin,10468,True,Bronx,12,0
61,Enzos of Arthur Avenue,237,3.5,2,italian,10458,True,Bronx,12,0
